merchant_id,txns,amount,failed_rate,disputed_txns,category,in_master,chargebacks,disputed_amount,fraud_chargebacks,critical_high,distinct_disputing_users,merchant_name,merchant_status,settlement_account_type,id_record_count,chargeback_to_txn_ratio,risk_score,risk_signals,risk_tier
MCH5012,3,48192.82,0.3333333333333333,2,Grocery,False,2.0,11793.0,1.0,0.0,2.0,,,,,0.6666666666666666,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH2974,3,14053.39,0.0,1,Grocery,False,2.0,11471.24,1.0,0.0,1.0,,,,,0.3333333333333333,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH6678,4,68884.54000000001,0.25,3,Hotels & Lodging,False,3.0,10586.9,2.0,1.0,3.0,,,,,0.75,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
MCH6973,6,91999.81,0.0,3,Transportation,False,3.0,10427.3,1.0,2.0,3.0,,,,,0.5,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
MCH3587,5,53437.81,0.0,3,Grocery,True,4.0,10230.17,2.0,1.0,3.0,Sagar-Raval,ACTIVE,MISSING,2.0,0.6,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, missing_settlement_account",HIGH
MCH5177,5,80599.72,0.2,3,Grocery,False,3.0,10134.75,1.0,1.0,3.0,,,,,0.6,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
MCH3722,5,77262.49,0.0,2,Grocery,True,2.0,9758.37,2.0,0.0,2.0,"Ben, Dhingra and Garde",INACTIVE,MISSING,3.0,0.4,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active, missing_settlement_account",HIGH
MCH6924,4,46423.95,0.0,2,Restaurants,False,3.0,9248.74,2.0,0.0,2.0,,,,,0.5,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
MCH7002,3,40051.96,0.0,2,Grocery,False,3.0,8829.19,1.0,1.0,2.0,,,,,0.6666666666666666,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
MCH4067,4,36639.98,0.0,3,Grocery,False,3.0,8372.98,1.0,1.0,3.0,,,,,0.75,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
MCH9861,4,54046.05,0.0,2,Hotels & Lodging,True,3.0,8004.91,2.0,0.0,2.0,"Mukherjee, Murthy and Jani",ACTIVE,MISSING,1.0,0.5,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, missing_settlement_account",HIGH
MCH9607,4,71883.29999999999,0.0,2,Pharmacy,False,3.0,7752.35,1.0,0.0,2.0,,,,,0.5,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
MCH5922,6,74928.95,0.0,2,Pharmacy,False,3.0,7584.43,1.0,2.0,2.0,,,,,0.3333333333333333,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
MCH1195,7,77885.89,0.2857142857142857,3,Grocery,True,3.0,7414.65,1.0,0.0,3.0,Cherian-Rana,ACTIVE,MISSING,2.0,0.42857142857142855,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, missing_settlement_account",HIGH
MCH1079,4,52637.75,0.0,2,Transportation,True,3.0,7383.24,3.0,2.0,2.0,Sharaf and Sons,ACTIVE,MISSING,1.0,0.5,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, missing_settlement_account",HIGH
MCH4395,5,37882.78,0.2,2,Misc Retail,True,3.0,6618.52,2.0,1.0,2.0,Ramakrishnan-Rastogi,ACTIVE,MISSING,1.0,0.4,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, missing_settlement_account",HIGH
MCH3947,4,42577.08,0.0,2,Restaurants,False,3.0,5889.53,1.0,0.0,2.0,,,,,0.5,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
MCH5057,5,105739.28,0.2,2,Restaurants,False,3.0,5583.93,1.0,0.0,2.0,,,,,0.4,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
MCH1508,4,50291.64,0.25,3,Hotels & Lodging,False,3.0,5140.04,1.0,2.0,3.0,,,,,0.75,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
MCH1531,5,58190.88,0.0,2,Grocery,True,2.0,5126.030000000001,1.0,0.0,2.0,Savant and Sons,CLOSED,MISSING,1.0,0.4,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active, missing_settlement_account",HIGH
MCH4870,4,45701.92,0.0,2,Pharmacy,True,2.0,5107.13,1.0,0.0,2.0,Rana Inc,SUSPENDED,MISSING,1.0,0.5,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active, missing_settlement_account",HIGH
MCH6095,3,31648.78,0.0,2,Books & Stationery,True,3.0,3415.46,1.0,1.0,2.0,"Sahota, Misra and Kata",ACTIVE,MISSING,1.0,0.6666666666666666,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, missing_settlement_account",HIGH
MCH7933,3,29702.1,0.0,2,Grocery,True,2.0,2858.83,1.0,1.0,2.0,Barad Inc,INACTIVE,MISSING,1.0,0.6666666666666666,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active, missing_settlement_account",HIGH
MCH2104,4,52405.5,0.0,2,Grocery,True,2.0,2766.33,1.0,2.0,2.0,Iyengar Plc,SUSPENDED,MISSING,1.0,0.5,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active, missing_settlement_account",HIGH
MCH2516,5,60539.130000000005,0.0,2,Pharmacy,True,2.0,2670.89,1.0,1.0,2.0,Ben-Varghese,SUSPENDED,MISSING,1.0,0.4,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active, missing_settlement_account",HIGH
MCH2497,5,71786.75,0.2,3,Hotels & Lodging,False,3.0,2488.27,1.0,1.0,3.0,,,,,0.6,70,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
MCH9979,3,60052.490000000005,0.0,2,Grocery,True,2.0,2134.24,1.0,0.0,2.0,"Bandi, Gupta and Sarma",BLOCKED,MISSING,1.0,0.6666666666666666,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active, missing_settlement_account",HIGH
MCH2083,5,55230.95,0.0,2,Pharmacy,True,2.0,2011.5900000000001,1.0,1.0,2.0,Patla-Basak,SUSPENDED,MISSING,1.0,0.4,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active, missing_settlement_account",HIGH
MCH8146,4,77180.47,0.0,2,Books & Stationery,True,2.0,29045.79,1.0,0.0,2.0,Bath-Purohit,ACTIVE,MASKED,1.0,0.5,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount",HIGH
MCH6527,3,28916.8,0.0,2,Grocery,True,2.0,25248.56,2.0,0.0,2.0,"Lalla, Bhandari and Mane",ACTIVE,VIRTUAL_ACCOUNT,2.0,0.6666666666666666,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount",HIGH
MCH6858,3,16224.96,0.0,2,Grocery,False,3.0,23194.36,0.0,1.0,2.0,,,,,0.6666666666666666,65,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), top10%_disputed_amount, not_in_merchant_master",HIGH
MCH6848,5,79757.69,0.0,2,Transportation,True,2.0,22579.27,2.0,0.0,2.0,Dora LLC,ACTIVE,VIRTUAL_ACCOUNT,1.0,0.4,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount",HIGH
MCH7517,4,50341.68,0.0,2,Grocery,True,2.0,21984.85,2.0,2.0,2.0,"Banik, Kamdar and Dada",ACTIVE,VIRTUAL_ACCOUNT,1.0,0.5,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount",HIGH
MCH7078,3,39115.51,0.0,2,Apparel,True,2.0,20100.75,1.0,2.0,2.0,"Vasa, Gade and Viswanathan",ACTIVE,MASKED,2.0,0.6666666666666666,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount",HIGH
MCH7408,3,41807.95,0.0,1,Pharmacy,True,2.0,18732.38,1.0,0.0,1.0,Bala Group,ACTIVE,VIRTUAL_ACCOUNT,1.0,0.3333333333333333,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount",HIGH
MCH7607,6,64887.54,0.16666666666666666,2,Grocery,True,2.0,16627.47,1.0,0.0,2.0,"Vyas, Ramakrishnan and Narayanan",ACTIVE,ACCOUNT_NUMBER,1.0,0.3333333333333333,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount",HIGH
MCH8505,4,67464.08,0.25,2,Grocery,True,2.0,15346.7,1.0,0.0,2.0,Kamdar-Ghosh,ACTIVE,MASKED,3.0,0.5,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount",HIGH
MCH8824,4,74025.5,0.0,2,Grocery,True,2.0,14847.06,1.0,1.0,2.0,Mani Plc,ACTIVE,ACCOUNT_NUMBER,1.0,0.5,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount",HIGH
MCH8903,7,91848.11,0.0,2,Pharmacy,True,3.0,14671.06,2.0,0.0,2.0,Keer-Sagar,ACTIVE,MISSING,1.0,0.2857142857142857,65,"repeated_disputes(≥2), 3+_disputes, fraud_type_dispute, top10%_disputed_amount, missing_settlement_account",HIGH
MCH5362,5,53397.9,0.0,2,Grocery,True,2.0,14440.4,0.0,0.0,2.0,"Kunda, Tiwari and Nagi",INACTIVE,MISSING,3.0,0.4,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), top10%_disputed_amount, transacting_while_not_active, missing_settlement_account",HIGH
MCH4194,4,71261.04000000001,0.25,2,Grocery,True,2.0,13886.04,0.0,0.0,2.0,Hegde-Chahal,INACTIVE,MISSING,2.0,0.5,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), top10%_disputed_amount, transacting_while_not_active, missing_settlement_account",HIGH
MCH1711,3,10852.91,0.0,2,Grocery,True,2.0,13258.15,1.0,1.0,2.0,"Sastry, Kota and Merchant",ACTIVE,VIRTUAL_ACCOUNT,1.0,0.6666666666666666,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount",HIGH
MCH8855,5,77146.3,0.0,2,Pharmacy,True,2.0,11980.55,1.0,0.0,2.0,"Rau, Dua and Nadkarni",ACTIVE,ACCOUNT_NUMBER,1.0,0.4,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount",HIGH
MCH5009,4,32109.839999999997,0.25,2,Grocery,True,2.0,6657.69,1.0,0.0,2.0,Arora-Wagle,INACTIVE,MASKED,1.0,0.5,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active",HIGH
MCH8539,4,21484.95,0.0,2,Grocery,True,3.0,6327.54,1.0,1.0,2.0,Arya-Char,ACTIVE,MASKED,1.0,0.5,65,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute",HIGH
MCH2179,5,41623.73,0.2,3,Grocery,True,3.0,6273.360000000001,2.0,1.0,3.0,Chanda-Sura,ACTIVE,MASKED,2.0,0.6,65,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute",HIGH
MCH5569,3,19455.13,0.3333333333333333,2,Grocery,True,2.0,5723.0,1.0,0.0,2.0,"Thaman, Kar and Dass",INACTIVE,ACCOUNT_NUMBER,1.0,0.6666666666666666,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active",HIGH
MCH9675,2,20330.67,0.0,1,Hotels & Lodging,True,3.0,5623.62,2.0,1.0,1.0,Mand-Varkey,INACTIVE,MISSING,1.0,0.5,65,"repeated_disputes(≥2), 3+_disputes, fraud_type_dispute, transacting_while_not_active, missing_settlement_account",HIGH
MCH3549,3,47166.97,0.0,3,Hotels & Lodging,True,3.0,5137.3099999999995,2.0,0.0,3.0,Khalsa and Sons,ACTIVE,VIRTUAL_ACCOUNT,1.0,1.0,65,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute",HIGH
MCH6122,3,50738.32,0.0,2,Grocery,True,2.0,4616.97,2.0,0.0,2.0,Rai Ltd,INACTIVE,VIRTUAL_ACCOUNT,2.0,0.6666666666666666,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active",HIGH
MCH8466,3,35571.76,0.0,2,Pharmacy,True,3.0,3523.1200000000003,2.0,2.0,2.0,Dani Plc,ACTIVE,ACCOUNT_NUMBER,1.0,0.6666666666666666,65,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute",HIGH
MCH5335,4,64008.76,0.25,2,Grocery,True,2.0,3189.74,1.0,2.0,2.0,Shroff and Sons,INACTIVE,MASKED,2.0,0.5,65,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active",HIGH
MCH7982,3,29815.54,0.0,2,Grocery,True,3.0,1644.1,1.0,1.0,2.0,De0 Ltd,ACTIVE,VIRTUAL_ACCOUNT,1.0,0.6666666666666666,65,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute",HIGH
MCH9431,3,47118.06,0.0,2,Grocery,True,3.0,1312.53,2.0,1.0,2.0,Madan-Kota,ACTIVE,ACCOUNT_NUMBER,1.0,0.6666666666666666,65,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute",HIGH
MCH3285,5,58058.46000000001,0.0,3,Transportation,True,3.0,19559.5,0.0,2.0,3.0,"Prasad, Luthra and Suri",ACTIVE,ACCOUNT_NUMBER,1.0,0.6,60,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), top10%_disputed_amount",HIGH
MCH3548,3,60618.7,0.3333333333333333,2,Transportation,True,3.0,14354.85,0.0,1.0,2.0,"Bhakta, Dhaliwal and Comar",ACTIVE,VIRTUAL_ACCOUNT,1.0,0.6666666666666666,60,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), top10%_disputed_amount",HIGH
MCH5422,2,49370.93,0.0,2,Grocery,True,3.0,12667.59,2.0,2.0,2.0,Sawhney LLC,ACTIVE,VIRTUAL_ACCOUNT,1.0,1.0,60,"repeated_disputes(≥2), 3+_disputes, fraud_type_dispute, top10%_disputed_amount",HIGH
MCH2942,3,29273.58,0.6666666666666666,1,Hotels & Lodging,False,2.0,9993.63,1.0,0.0,1.0,,,,,0.3333333333333333,60,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
MCH6948,6,70960.56,0.3333333333333333,2,Grocery,True,2.0,9084.37,1.0,0.0,2.0,"Kala,lokeand Singhal",ACTIVE,MISSING,1.0,0.3333333333333333,60,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, missing_settlement_account",HIGH
MCH9495,4,49969.63,0.0,2,Hotels & Lodging,False,2.0,9039.27,1.0,0.0,2.0,,,,,0.5,60,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, not_in_merchant_master",HIGH
