complaint_id,txn_id,user_id,merchant_id,merchant_category,reason_category,severity,disputed_amount,transaction_timestamp,reported_timestamp,reporting_delay_days,resolution_status,kyc_status
CBK0000441,TXN00002216,USR36317,MCH2005,Hotels & Lodging,DUPLICATE_DEBIT,LOW,5160.27,2026-01-17 16:29:36,2026-03-12 00:00:00,53.31,REJECTED,REJECTED
CBK0001929,TXN00003276,USR54780,MCH2929,Pharmacy,WRONG_AMOUNT,LOW,5720.73,2026-01-29 01:25:42,2026-03-22 00:00:00,51.94,RESOLVED,VERIFIED
CBK0000636,TXN00018402,USR61095,MCH8526,Restaurants,ACCOUNT_TAKEOVER,LOW,1848.85,2026-01-08 01:49:35,2026-02-27 00:00:00,49.92,CLOSED,NO_KYC_RECORD
CBK0002521,TXN00013602,USR64301,MCH2230,Grocery,FRAUD_SUSPECTED,CRITICAL,2090.68,2026-01-24 03:25:01,2026-03-15 00:00:00,49.86,IN_PROGRESS,VERIFIED
CBK0000418,TXN00003628,USR54758,MCH5288,Grocery,UNAUTHORIZED_TXN,MEDIUM,2430.89,2026-02-14 22:52:38,2026-04-04 06:41:27,48.33,PENDING_BANK,NO_KYC_RECORD
CBK0000300,TXN00002857,USR60350,MCH5084,Hotels & Lodging,NOT_DELIVERED,HIGH,920.19,2026-02-01 00:41:36,2026-03-21 00:00:00,47.97,IN_PROGRESS,REJECTED
CBK0001753,TXN00002207,USR84725,MCH5963,Restaurants,ACCOUNT_TAKEOVER,HIGH,326.69,2026-02-09 06:22:25,2026-03-28 00:00:00,46.73,PENDING_BANK,VERIFIED
CBK0002042,TXN00004367,USR14823,MCH8130,Hotels & Lodging,SERVICE_NOT_PROVIDED,HIGH,2126.85,2026-03-09 00:00:00,2026-04-24 16:40:44,46.69,RESOLVED,NO_KYC_RECORD
CBK0000332,TXN00005378,USR98211,MCH7493,Restaurants,SERVICE_NOT_PROVIDED,MEDIUM,1274.1,2026-03-31 00:00:00,2026-05-16 14:52:28,46.62,OPEN,NO_KYC_RECORD
CBK0000920,TXN00000546,USR29893,MCH6075,Grocery,WRONG_AMOUNT,LOW,427.33,2026-03-02 00:00:00,2026-04-17 13:17:00,46.55,PENDING_BANK,NO_KYC_RECORD
CBK0002034,TXN00014295,USR54427,MCH5067,Grocery,DUPLICATE_DEBIT,LOW,3265.64,2026-02-22 00:00:00,2026-04-09 00:23:56,46.02,RESOLVED,VERIFIED
CBK0000855,TXN00013194,USR61238,MCH9810,Transportation,ACCOUNT_TAKEOVER,MEDIUM,14224.78,2026-01-06 00:00:00,2026-02-21 00:00:00,46.0,PENDING_BANK,VERIFIED
CBK0001653,TXN00008030,USR62989,MCH1195,Transportation,SERVICE_NOT_PROVIDED,MEDIUM,1200.17,2026-02-02 00:00:00,2026-03-20 00:00:00,46.0,RESOLVED,NO_KYC_RECORD
CBK0001909,TXN00015341,USR96684,MCH5451,Grocery,DUPLICATE_DEBIT,MEDIUM,5481.51,2026-02-27 00:00:00,2026-04-14 00:00:00,46.0,IN_PROGRESS,NO_KYC_RECORD
CBK0000700,TXN00001244,USR67624,MCH8663,Grocery,SERVICE_NOT_PROVIDED,MEDIUM,1404.94,2026-02-13 00:00:00,2026-03-31 00:00:00,46.0,IN_PROGRESS,NO_KYC_RECORD
CBK0001186,TXN00018221,USR44018,MCH9051,Telecom,WRONG_AMOUNT,LOW,119.0,2026-01-30 00:00:00,2026-03-17 00:00:00,46.0,OPEN,NO_KYC_RECORD
CBK0000600,TXN00012715,USR59379,MCH8429,Hotels & Lodging,SERVICE_NOT_PROVIDED,HIGH,339.58,2026-03-28 00:00:00,2026-05-13 00:00:00,46.0,PENDING_BANK,NO_KYC_RECORD
CBK0002462,TXN00017340,USR94651,MCH2269,Grocery,UNAUTHORIZED_TXN,LOW,1945.77,2026-02-10 00:00:00,2026-03-28 00:00:00,46.0,PENDING_BANK,NO_KYC_RECORD
CBK0001021,TXN00019145,USR88636,MCH2270,Grocery,DUPLICATE_DEBIT,MEDIUM,10111.0,2026-03-01 00:00:00,2026-04-16 00:00:00,46.0,OPEN,NO_KYC_RECORD
CBK0000829,TXN00017462,USR71853,MCH3568,Department Stores,SERVICE_NOT_PROVIDED,LOW,5757.44,2026-03-18 00:00:00,2026-05-03 00:00:00,46.0,RESOLVED,NO_KYC_RECORD
CBK0001569,TXN00014298,USR45690,MCH6744,Misc Retail,FRAUD_SUSPECTED,MEDIUM,665.91,2026-01-23 00:00:00,2026-03-10 00:00:00,46.0,IN_PROGRESS,NO_KYC_RECORD
CBK0000768,TXN00002926,USR30575,MCH1382,Transportation,GENERAL_DISPUTE,LOW,1432.79,2026-01-03 00:00:00,2026-02-18 00:00:00,46.0,OPEN,NO_KYC_RECORD
CBK0002213,TXN00009870,USR94755,MCH4350,Grocery,NOT_DELIVERED,MEDIUM,12334.0,2026-01-02 00:00:00,2026-02-17 00:00:00,46.0,IN_PROGRESS,REJECTED
CBK0001343,TXN00017045,USR31452,MCH7956,Restaurants,UNAUTHORIZED_TXN,MEDIUM,1409.0,2026-01-20 00:00:00,2026-03-07 00:00:00,46.0,IN_PROGRESS,NO_KYC_RECORD
CBK0000436,TXN00012192,USR89218,MCH8886,Hotels & Lodging,SERVICE_NOT_PROVIDED,MEDIUM,5520.5,2026-02-24 00:00:00,2026-04-11 00:00:00,46.0,PENDING_BANK,NO_KYC_RECORD
CBK0001625,TXN00006214,USR60393,MCH4981,Grocery,GENERAL_DISPUTE,MEDIUM,4111.68,2026-02-13 00:00:00,2026-03-30 23:46:00,45.99,CLOSED,VERIFIED
CBK0002174,,USR75213,MCH2779,Unknown,ACCOUNT_TAKEOVER,MEDIUM,484.07,2026-02-28 00:00:00,2026-04-14 23:11:36,45.97,CLOSED,NO_KYC_RECORD
CBK0001519,TXN00000459,USR52806,MCH5169,Pharmacy,GENERAL_DISPUTE,HIGH,8278.26,2026-01-05 01:52:09,2026-02-20 00:52:09,45.96,PENDING_BANK,NO_KYC_RECORD
CBK0000778,TXN00004797,USR35227,MCH5909,Transportation,UNAUTHORIZED_TXN,MEDIUM,3784.33,2026-01-12 03:41:00,2026-02-27 00:00:00,45.85,RESOLVED,NO_KYC_RECORD
CBK0001656,TXN00014355,USR25818,MCH1907,Pharmacy,DUPLICATE_DEBIT,LOW,842.31,2026-03-31 00:00:00,2026-05-15 19:24:00,45.81,OPEN,NO_KYC_RECORD
CBK0001309,TXN00001777,USR22237,MCH4189,Grocery,UNAUTHORIZED_TXN,MEDIUM,6040.0,2026-03-13 00:00:00,2026-04-27 18:23:00,45.77,CLOSED,VERIFIED
CBK0002756,TXN00003850,USR75409,MCH4148,Grocery,DUPLICATE_DEBIT,LOW,5978.59,2026-03-06 00:00:00,2026-04-20 18:06:08,45.75,REJECTED,VERIFIED
CBK0002342,TXN00018954,USR14891,MCH9338,Restaurants,SERVICE_NOT_PROVIDED,HIGH,3630.2,2026-01-21 00:00:00,2026-03-07 18:04:46,45.75,REJECTED,VERIFIED
CBK0002711,TXN00042233,USR31712,MCH3819,Misc Retail,DUPLICATE_DEBIT,HIGH,,2026-03-10 00:00:00,2026-04-24 16:53:03,45.7,CLOSED,NO_KYC_RECORD
CBK0001116,TXN00080108,USR56399,MCH3406,Department Stores,NOT_DELIVERED,HIGH,1189.65,2026-02-05 00:00:00,2026-03-22 14:28:00,45.6,IN_PROGRESS,VERIFIED
CBK0001280,TXN00012568,USR61561,MCH4619,Grocery,GENERAL_DISPUTE,LOW,15086.0,2026-01-16 00:00:00,2026-03-02 14:03:49,45.59,OPEN,NO_KYC_RECORD
CBK0000955,,USR66359,MCH2992,Unknown,NOT_DELIVERED,LOW,1214.33,2026-03-04 00:00:00,2026-04-18 12:26:19,45.52,OPEN,NO_KYC_RECORD
CBK0000719,TXN00008362,USR43558,MCH9577,Restaurants,NOT_DELIVERED,LOW,716.05,2026-03-23 00:00:00,2026-05-07 11:49:41,45.49,IN_PROGRESS,VERIFIED
CBK0000497,TXN00001489,USR25765,MCH5901,Grocery,NOT_DELIVERED,HIGH,6345.72,2026-03-22 14:52:27,2026-05-07 01:52:00,45.46,RESOLVED,NO_KYC_RECORD
CBK0001739,TXN00013116,USR42202,MCH4995,Pharmacy,SERVICE_NOT_PROVIDED,MEDIUM,1464.53,2026-01-07 13:26:12,2026-02-22 00:00:00,45.44,CLOSED,VERIFIED
CBK0000732,TXN00004610,USR80098,MCH3767,Pharmacy,FRAUD_SUSPECTED,MEDIUM,5879.13,2026-01-01 22:58:19,2026-02-16 08:58:00,45.42,RESOLVED,VERIFIED
CBK0002419,TXN00008154,USR76911,MCH2588,Grocery,NOT_DELIVERED,MEDIUM,1654.89,2026-02-25 14:30:00,2026-04-12 00:00:00,45.4,OPEN,NO_KYC_RECORD
CBK0000303,TXN00015469,USR56539,MCH2620,Grocery,DUPLICATE_DEBIT,MEDIUM,18523.03,2026-01-11 14:40:00,2026-02-26 00:00:00,45.39,IN_PROGRESS,NO_KYC_RECORD
CBK0001181,TXN00009419,USR19402,MCH6788,Pharmacy,NOT_DELIVERED,LOW,16164.46,2026-03-06 15:17:00,2026-04-21 00:00:00,45.36,IN_PROGRESS,REJECTED
CBK0001749,TXN00000318,USR62190,MCH2059,Grocery,GENERAL_DISPUTE,LOW,4340.63,2026-01-29 15:34:00,2026-03-16 00:00:00,45.35,OPEN,NO_KYC_RECORD
CBK0000329,TXN00014927,USR75439,MCH2484,Transportation,FRAUD_SUSPECTED,MEDIUM,23395.64,2026-01-29 17:56:00,2026-03-16 00:00:00,45.25,OPEN,NO_KYC_RECORD
CBK0001050,TXN00010429,USR23730,MCH6973,Grocery,DUPLICATE_DEBIT,LOW,4066.0,2026-03-18 20:21:00,2026-05-03 00:00:00,45.15,IN_PROGRESS,NO_KYC_RECORD
CBK0002227,TXN00097124,USR21632,MCH9291,Department Stores,DUPLICATE_DEBIT,HIGH,1596.33,2026-02-25 20:48:05,2026-04-12 00:00:00,45.13,RESOLVED,NO_KYC_RECORD
CBK0001944,TXN00005059,USR53351,MCH9116,Pharmacy,WRONG_AMOUNT,CRITICAL,4128.34,2026-03-10 22:25:51,2026-04-25 00:00:00,45.07,OPEN,VERIFIED
CBK0002184,TXN00015679,USR59989,MCH1527,Grocery,WRONG_AMOUNT,LOW,221.0,2026-01-10 22:44:00,2026-02-25 00:00:00,45.05,REJECTED,NO_KYC_RECORD
CBK0000200,TXN00015054,USR49210,MCH1782,Grocery,UNAUTHORIZED_TXN,MEDIUM,6049.12,2026-03-20 00:00:00,2026-05-04 00:00:00,45.0,IN_PROGRESS,NO_KYC_RECORD
CBK0000127,TXN00007654,USR61968,MCH9152,Restaurants,DUPLICATE_DEBIT,MEDIUM,1028.53,2026-03-06 00:00:00,2026-04-20 00:00:00,45.0,PENDING_BANK,VERIFIED
CBK0000787,TXN00015064,USR42927,MCH4436,Hotels & Lodging,DUPLICATE_DEBIT,MEDIUM,981.9,2026-02-03 00:00:00,2026-03-20 00:00:00,45.0,IN_PROGRESS,NO_KYC_RECORD
CBK0002235,TXN00009348,USR36254,MCH7436,Pharmacy,DUPLICATE_DEBIT,LOW,2309.36,2026-03-17 00:00:00,2026-05-01 00:00:00,45.0,IN_PROGRESS,NO_KYC_RECORD
CBK0001779,TXN00006263,USR54909,MCH9108,Pharmacy,GENERAL_DISPUTE,LOW,843.91,2026-02-22 00:00:00,2026-04-08 00:00:00,45.0,CLOSED,VERIFIED
CBK0001278,TXN00008385,USR35589,MCH3818,Restaurants,GENERAL_DISPUTE,LOW,1944.27,2026-02-20 00:00:00,2026-04-06 00:00:00,45.0,RESOLVED,NO_KYC_RECORD
CBK0000390,TXN00006356,USR88512,MCH3158,Grocery,GENERAL_DISPUTE,LOW,344.33,2026-03-23 00:00:00,2026-05-07 00:00:00,45.0,RESOLVED,NO_KYC_RECORD
CBK0002343,TXN00015911,USR57660,MCH5262,Unknown,DUPLICATE_DEBIT,HIGH,1701.23,2026-02-16 00:00:00,2026-04-02 00:00:00,45.0,REJECTED,PENDING
CBK0002778,TXN00034155,USR63286,MCH5795,Hotels & Lodging,NOT_DELIVERED,MEDIUM,736.99,2026-03-31 00:00:00,2026-05-15 00:00:00,45.0,PENDING_BANK,NO_KYC_RECORD
CBK0000749,TXN00006304,USR73347,MCH7853,Restaurants,GENERAL_DISPUTE,CRITICAL,4194.32,2026-01-09 00:00:00,2026-02-23 00:00:00,45.0,IN_PROGRESS,NO_KYC_RECORD
CBK0001024,TXN00012992,USR16470,MCH5550,Pharmacy,UNAUTHORIZED_TXN,LOW,1617.78,2026-02-16 00:00:00,2026-04-02 00:00:00,45.0,IN_PROGRESS,NO_KYC_RECORD
CBK0001880,TXN00013813,USR26668,MCH4809,Grocery,FRAUD_SUSPECTED,MEDIUM,7819.51,2026-01-21 00:00:00,2026-03-07 00:00:00,45.0,REJECTED,NO_KYC_RECORD
CBK0002044,TXN00012234,USR25791,MCH9562,Unknown,UNAUTHORIZED_TXN,CRITICAL,1786.57,2026-02-25 00:00:00,2026-04-11 00:00:00,45.0,PENDING_BANK,NO_KYC_RECORD
CBK0001674,TXN00013171,USR39123,MCH4986,Unknown,ACCOUNT_TAKEOVER,HIGH,1091.17,2026-02-27 00:19:00,2026-04-13 00:00:00,44.99,IN_PROGRESS,VERIFIED
CBK0001735,TXN00017962,USR76476,MCH5215,Restaurants,WRONG_AMOUNT,LOW,2741.61,2026-01-13 03:38:00,2026-02-27 00:00:00,44.85,PENDING_BANK,NO_KYC_RECORD
CBK0000591,TXN00011869,USR45826,MCH7045,Grocery,WRONG_AMOUNT,CRITICAL,8004.21,2026-01-16 05:31:00,2026-03-02 00:00:00,44.77,CLOSED,NO_KYC_RECORD
CBK0000165,TXN00013500,USR20190,MCH6523,Grocery,DUPLICATE_DEBIT,LOW,3214.54,2026-01-23 09:33:00,2026-03-09 00:00:00,44.6,OPEN,NO_KYC_RECORD
CBK0002554,TXN00000914,USR20929,MCH8365,Grocery,NOT_DELIVERED,HIGH,1207.28,2026-02-08 11:30:00,2026-03-25 00:00:00,44.52,OPEN,NO_KYC_RECORD
CBK0002001,TXN00008475,USR64746,MCH6927,Grocery,GENERAL_DISPUTE,MEDIUM,877.69,2026-03-03 13:24:10,2026-04-17 00:00:00,44.44,CLOSED,NO_KYC_RECORD
CBK0002509,TXN00002022,USR33647,MCH5134,Restaurants,UNAUTHORIZED_TXN,HIGH,7834.45,2026-01-09 06:54:48,2026-02-22 16:14:00,44.39,RESOLVED,NO_KYC_RECORD
CBK0001951,TXN00007053,USR47712,MCH1007,Hotels & Lodging,WRONG_AMOUNT,HIGH,3545.44,2026-03-26 16:44:00,2026-05-10 00:00:00,44.3,CLOSED,NO_KYC_RECORD
CBK0002414,TXN00000503,USR33758,MCH7518,Unknown,DUPLICATE_DEBIT,HIGH,325.93,2026-03-04 16:57:39,2026-04-18 00:00:00,44.29,OPEN,VERIFIED
CBK0000574,TXN00011825,USR42023,MCH5762,Grocery,DUPLICATE_DEBIT,LOW,3123.85,2026-01-26 18:02:00,2026-03-12 00:00:00,44.25,IN_PROGRESS,NO_KYC_RECORD
CBK0000005,TXN00018300,USR50732,MCH6688,Grocery,FRAUD_SUSPECTED,LOW,3125.63,2026-03-23 18:36:28,2026-05-07 00:00:00,44.22,IN_PROGRESS,VERIFIED
CBK0000562,TXN00003828,USR37969,MCH5751,Grocery,UNAUTHORIZED_TXN,LOW,1594.84,2026-02-15 13:59:31,2026-03-31 19:03:00,44.21,PENDING_BANK,NO_KYC_RECORD
CBK0002595,TXN00006136,USR15168,MCH6553,Grocery,NOT_DELIVERED,LOW,3785.87,2026-01-01 10:58:59,2026-02-14 00:00:00,43.54,IN_PROGRESS,NO_KYC_RECORD
CBK0002032,TXN00017675,USR59412,MCH3265,Restaurants,ACCOUNT_TAKEOVER,MEDIUM,14260.28,2026-02-03 01:18:22,2026-03-17 08:41:11,42.31,IN_PROGRESS,VERIFIED
CBK0000683,TXN00017581,USR24980,MCH5725,Transportation,NOT_DELIVERED,LOW,12534.15,2026-01-09 00:00:00,2026-02-19 12:11:31,41.51,REJECTED,NO_KYC_RECORD
CBK0001075,TXN00013358,USR22302,MCH7550,Unknown,NOT_DELIVERED,LOW,2097.39,2026-01-16 16:07:38,2026-02-27 00:00:00,41.33,REJECTED,VERIFIED
CBK0000105,TXN00004321,USR74272,MCH7649,Unknown,NOT_DELIVERED,LOW,2032.79,2026-02-14 23:00:55,2026-03-27 00:00:00,40.04,OPEN,PENDING
CBK0001916,TXN00005518,USR78743,MCH1212,Grocery,FRAUD_SUSPECTED,LOW,4245.22,2026-02-13 08:43:23,2026-03-25 00:00:00,39.64,REJECTED,VERIFIED
CBK0002305,TXN00008366,USR29842,MCH9183,Restaurants,FRAUD_SUSPECTED,HIGH,1671.34,2026-01-24 04:24:46,2026-03-04 00:00:00,38.82,CLOSED,NO_KYC_RECORD
CBK0000301,TXN00016908,USR90514,MCH9057,Books & Stationery,ACCOUNT_TAKEOVER,LOW,2938.45,2026-02-15 23:07:27,2026-03-26 00:00:00,38.04,IN_PROGRESS,NO_KYC_RECORD
CBK0001283,TXN00002013,USR91537,MCH5761,Restaurants,UNAUTHORIZED_TXN,MEDIUM,439.0,2026-01-25 17:56:10,2026-03-04 02:59:29,37.38,REJECTED,NO_KYC_RECORD
CBK0000952,TXN00013323,USR11584,MCH6409,Apparel,NOT_DELIVERED,MEDIUM,1986.27,2026-03-17 22:14:49,2026-04-24 00:00:00,37.07,OPEN,VERIFIED
CBK0001808,TXN00004140,USR30097,MCH2393,Grocery,GENERAL_DISPUTE,CRITICAL,378.0,2026-01-09 05:21:51,2026-02-14 00:00:00,35.78,IN_PROGRESS,NO_KYC_RECORD
CBK0001620,TXN00013592,USR46429,MCH2042,Hotels & Lodging,SERVICE_NOT_PROVIDED,LOW,1528.43,2026-01-03 07:58:43,2026-02-08 00:00:00,35.67,CLOSED,NO_KYC_RECORD
CBK0000220,TXN00009971,USR21910,MCH9520,Grocery,FRAUD_SUSPECTED,LOW,4849.0,2026-01-26 08:45:45,2026-03-03 00:00:00,35.63,IN_PROGRESS,NO_KYC_RECORD
CBK0000427,TXN00013526,USR84271,MCH3662,Pharmacy,UNAUTHORIZED_TXN,CRITICAL,1210.19,2026-02-21 17:50:37,2026-03-29 00:00:00,35.26,RESOLVED,VERIFIED
CBK0001404,TXN00003881,USR94603,MCH1375,Transportation,UNAUTHORIZED_TXN,MEDIUM,12565.66,2026-02-17 09:51:34,2026-03-23 06:15:00,33.85,IN_PROGRESS,REJECTED
CBK0001304,TXN00017396,USR96000,MCH9309,Restaurants,FRAUD_SUSPECTED,HIGH,642.07,2026-02-13 07:37:22,2026-03-18 00:00:00,32.68,IN_PROGRESS,NO_KYC_RECORD
CBK0001521,TXN00010065,USR29798,MCH1152,Grocery,NOT_DELIVERED,LOW,4146.46,2026-02-14 00:00:00,2026-03-17 18:07:42,31.76,CLOSED,NO_KYC_RECORD
CBK0000852,TXN00010668,USR58569,MCH8410,Grocery,UNAUTHORIZED_TXN,MEDIUM,1305.45,2026-03-06 00:00:00,2026-04-06 15:52:29,31.66,PENDING_BANK,NO_KYC_RECORD
CBK0000198,TXN00019042,USR78840,MCH5825,Books & Stationery,FRAUD_SUSPECTED,MEDIUM,1241.09,2026-02-22 00:00:00,2026-03-25 15:25:13,31.64,CLOSED,NO_KYC_RECORD
CBK0002123,TXN00015926,USR26546,MCH2884,Books & Stationery,NOT_DELIVERED,MEDIUM,851.0,2026-02-08 23:03:27,2026-03-12 14:21:21,31.64,IN_PROGRESS,NO_KYC_RECORD
CBK0001426,TXN00002655,USR34238,MCH6711,Grocery,DUPLICATE_DEBIT,MEDIUM,338.23,2026-01-14 00:00:00,2026-02-14 13:03:15,31.54,IN_PROGRESS,NO_KYC_RECORD
CBK0000115,TXN00000541,USR54951,MCH1772,Transportation,GENERAL_DISPUTE,LOW,1346.0,2026-02-20 00:00:00,2026-03-23 03:31:09,31.15,RESOLVED,NO_KYC_RECORD
CBK0000426,TXN00001222,USR79916,MCH2689,Restaurants,SERVICE_NOT_PROVIDED,MEDIUM,10359.87,2026-01-13 00:00:00,2026-02-13 02:39:13,31.11,OPEN,NO_KYC_RECORD
CBK0001288,TXN00038794,USR82920,MCH5755,Unknown,WRONG_AMOUNT,HIGH,1144.0,2026-03-10 00:00:00,2026-04-10 02:16:42,31.09,OPEN,NO_KYC_RECORD
CBK0000905,TXN00003495,USR18542,MCH9853,Pharmacy,NOT_DELIVERED,LOW,2983.97,2026-01-08 00:00:00,2026-02-08 00:07:18,31.01,PENDING_BANK,NO_KYC_RECORD
CBK0000290,TXN00000426,USR64664,MCH7109,Hotels & Lodging,GENERAL_DISPUTE,MEDIUM,13742.73,2026-03-10 00:00:00,2026-04-10 00:00:00,31.0,REJECTED,NO_KYC_RECORD
CBK0000316,TXN00016400,USR65826,MCH4243,Transportation,WRONG_AMOUNT,MEDIUM,1616.81,2026-03-18 00:00:00,2026-04-18 00:00:00,31.0,RESOLVED,PENDING
CBK0002006,TXN00008821,USR57173,MCH7097,Transportation,FRAUD_SUSPECTED,LOW,2136.49,2026-02-21 00:00:00,2026-03-24 00:00:00,31.0,IN_PROGRESS,VERIFIED
CBK0001571,TXN00006558,USR11063,MCH4074,Hotels & Lodging,GENERAL_DISPUTE,MEDIUM,673.61,2026-03-26 00:00:00,2026-04-26 00:00:00,31.0,RESOLVED,NO_KYC_RECORD
CBK0002447,TXN00012629,USR33077,MCH4118,Grocery,NOT_DELIVERED,MEDIUM,3056.74,2026-02-13 00:00:00,2026-03-16 00:00:00,31.0,OPEN,NO_KYC_RECORD
CBK0002506,TXN00002955,USR66919,MCH4788,Hotels & Lodging,UNAUTHORIZED_TXN,LOW,4857.63,2026-03-28 00:00:00,2026-04-28 00:00:00,31.0,RESOLVED,VERIFIED
CBK0001174,TXN00005857,USR31527,MCH5405,Hotels & Lodging,WRONG_AMOUNT,LOW,244.97,2026-02-17 00:00:00,2026-03-20 00:00:00,31.0,IN_PROGRESS,NO_KYC_RECORD
CBK0000038,TXN00016138,USR24271,MCH9776,Restaurants,DUPLICATE_DEBIT,LOW,2973.45,2026-02-15 00:00:00,2026-03-18 00:00:00,31.0,PENDING_BANK,VERIFIED
