cluster_id,nodes,users,merchants,payment_edges,txns,amount,chargebacks,disputed_amount,fraud_chargebacks,unverified_or_no_kyc_users,hub_node,hub_degree,member_users,member_merchants,cluster_risk_score
CL050,5,3,2,4,4,83450.04,3,1939.15,1,3,M:MCH9763,3,USR39677 USR80852 USR99647,MCH9535 MCH9763,12.2
CL051,4,2,2,3,3,41649.43,2,1728.7,2,2,M:MCH1107,2,USR39494 USR71417,MCH1107 MCH2262,12.2
CL052,4,2,2,3,3,61274.479999999996,3,20907.670000000002,1,1,M:MCH3232,2,USR30438 USR60002,MCH3232 MCH6365,12.1
CL053,5,3,2,4,4,31403.38,3,9158.02,1,2,M:MCH5017,2,USR20127 USR33746 USR59428,MCH5017 MCH8472,11.9
CL054,4,2,2,3,3,41503.94,2,26558.86,1,2,M:MCH9494,2,USR41637 USR99192,MCH7672 MCH9494,11.7
CL055,6,3,3,5,5,65680.59,3,5892.389999999999,1,2,U:USR61951,3,USR37879 USR61951 USR86397,MCH4117 MCH6105 MCH8225,11.6
CL056,6,3,3,5,5,58074.55,3,4648.04,1,2,U:USR38687,3,USR15356 USR24770 USR38687,MCH6398 MCH7024 MCH7200,11.5
CL057,4,2,2,3,3,67093.52,2,5183.0,2,1,M:MCH5032,2,USR47287 USR81352,MCH3904 MCH5032,11.5
CL058,5,3,2,4,4,50901.45,3,2799.01,1,2,M:MCH1738,2,USR24010 USR30974 USR72566,MCH1738 MCH9695,11.3
CL059,4,2,2,3,3,47207.119999999995,2,22976.78,1,2,M:MCH7202,2,USR48198 USR57669,MCH7202 MCH9866,11.3
CL060,4,2,2,3,3,46770.020000000004,2,2251.67,2,1,M:MCH1301,2,USR13164 USR21584,MCH1301 MCH3255,11.2
CL061,5,3,2,4,4,55779.08,3,10734.880000000001,1,1,M:MCH3839,2,USR15161 USR60104 USR67313,MCH3839 MCH9874,11.1
CL062,4,2,2,3,3,44840.7,2,21231.36,1,2,M:MCH6546,2,USR18052 USR61364,MCH6546 MCH8053,11.1
CL063,4,3,1,3,3,31178.43,3,10427.300000000001,1,1,M:MCH6973,3,USR14312 USR23730 USR69178,MCH6973,11.0
CL064,4,3,1,3,3,34773.21,3,19559.5,0,3,M:MCH3285,3,USR26389 USR39980 USR48012,MCH3285,11.0
CL065,4,2,2,3,3,41542.84,3,9499.03,1,1,M:MCH4115,2,USR29958 USR72066,MCH4115 MCH6169,10.9
CL066,5,2,3,4,4,49293.8,3,8021.8099999999995,1,1,M:MCH4548,2,USR22260 USR97614,MCH2989 MCH4548 MCH7272,10.8
CL067,4,2,2,3,3,16132.760000000002,2,18380.14,1,2,M:MCH5401,2,USR49366 USR95674,MCH5401 MCH9681,10.8
CL068,6,3,3,5,5,87975.20999999999,3,23594.62,0,2,M:MCH4220,3,USR10902 USR55594 USR84643,MCH3866 MCH4220 MCH4705,10.4
CL069,4,2,2,3,3,27802.72,3,3550.1400000000003,1,1,M:MCH2388,2,USR40121 USR61573,MCH2388 MCH5236,10.4
CL070,4,2,2,3,3,43612.810000000005,3,3827.94,1,1,M:MCH8663,2,USR51996 USR67624,MCH8663 MCH9248,10.4
CL071,4,2,2,3,3,39663.990000000005,3,20422.3,0,2,M:MCH8957,2,USR28180 USR50579,MCH6621 MCH8957,10.0
CL072,4,3,1,3,3,45200.09,3,6303.65,0,3,M:MCH5278,3,USR17860 USR23485 USR36102,MCH5278,9.6
CL073,4,2,2,3,3,56968.81,2,6310.84,1,2,M:MCH7308,2,USR24257 USR37297,MCH3848 MCH7308,9.6
CL074,5,3,2,4,4,39620.68,3,4965.22,0,3,M:MCH5179,3,USR43442 USR53983 USR72574,MCH1223 MCH5179,9.5
CL075,5,3,2,4,4,35290.17,3,13547.41,0,2,M:MCH4762,2,USR47367 USR63311 USR75614,MCH4762 MCH7297,9.4
CL076,4,2,2,3,3,63650.19,2,3898.6000000000004,1,2,M:MCH8624,2,USR12556 USR92745,MCH1808 MCH8624,9.4
CL077,4,2,2,3,3,54122.03,2,4449.38,1,2,M:MCH1112,2,USR32388 USR33570,MCH1112 MCH5975,9.4
CL078,4,2,2,3,3,36992.95,2,3661.81,1,2,M:MCH7278,2,USR46014 USR85148,MCH7278 MCH8188,9.4
CL079,4,2,2,3,3,60966.89,3,2590.04,1,0,M:MCH8614,2,USR17492 USR45865,MCH8027 MCH8614,9.3
CL080,5,3,2,4,4,70214.15,3,3089.13,0,3,M:MCH2884,2,USR26546 USR54734 USR92720,MCH2884 MCH7558,9.3
CL081,4,2,2,3,3,9317.45,2,2960.27,1,2,M:MCH9042,2,USR11003 USR52039,MCH5456 MCH9042,9.3
CL082,4,2,2,3,3,20215.11,2,3115.7000000000003,1,2,M:MCH9737,2,USR13009 USR23090,MCH6752 MCH9737,9.3
CL083,4,2,2,3,3,63231.020000000004,2,3458.74,1,2,M:MCH7438,2,USR58977 USR91117,MCH6952 MCH7438,9.3
CL084,4,2,2,3,3,21532.07,2,1632.57,1,2,M:MCH8876,2,USR63171 USR99864,MCH3765 MCH8876,9.2
CL085,4,2,2,3,3,31900.46,2,926.6600000000001,1,2,M:MCH8429,2,USR36855 USR59379,MCH5744 MCH8429,9.1
CL086,4,2,2,3,3,42596.21,3,10084.45,0,2,M:MCH8764,2,USR29893 USR35305,MCH6075 MCH8764,9.0
CL087,4,2,2,3,3,52896.76,2,8547.39,1,1,M:MCH7683,2,USR16785 USR50191,MCH1849 MCH7683,8.9
CL088,4,2,2,3,3,62615.5,2,7722.92,1,1,M:MCH7781,2,USR31212 USR64720,MCH1193 MCH7781,8.8
CL089,6,3,3,5,5,99042.56,3,16850.12,0,1,M:MCH3485,2,USR37854 USR43644 USR87638,MCH3485 MCH3810 MCH5644,8.7
CL090,4,2,2,3,3,63420.44,2,5952.48,1,1,M:MCH4068,2,USR67372 USR86483,MCH4068 MCH7020,8.6
CL091,5,3,2,4,4,47572.47,3,3925.5299999999997,0,2,M:MCH3154,2,USR13149 USR22220 USR39009,MCH3154 MCH5625,8.4
CL092,5,3,2,4,4,44991.64,3,3511.94,0,2,M:MCH6536,2,USR58433 USR58931 USR70271,MCH6536 MCH8171,8.4
CL093,4,2,2,3,3,30423.58,2,4044.2200000000003,1,1,M:MCH9136,2,USR25095 USR94040,MCH3034 MCH9136,8.4
CL094,4,2,2,3,3,48357.92,2,2982.66,1,1,M:MCH6318,2,USR22955 USR82423,MCH6318 MCH6637,8.3
CL095,5,3,2,4,4,53178.07,3,2405.73,0,2,M:MCH7927,2,USR12579 USR33631 USR83578,MCH7927 MCH8267,8.2
CL096,4,2,2,3,3,19028.59,2,21656.55,0,2,M:MCH4123,2,USR32936 USR46746,MCH3163 MCH4123,8.2
CL097,4,2,2,3,3,41291.159999999996,3,1416.15,0,2,M:MCH1543,2,USR44047 USR48314,MCH1543 MCH9620,8.1
CL098,4,2,2,3,3,51278.130000000005,2,1187.45,1,1,M:MCH3380,2,USR18372 USR28580,MCH2443 MCH3380,8.1
CL099,4,2,2,3,3,40947.020000000004,2,20159.0,0,2,M:MCH9746,2,USR32245 USR33827,MCH8560 MCH9746,8.0
CL100,4,2,2,3,3,40833.31,2,20345.32,0,2,M:MCH9123,2,USR88846 USR98095,MCH8661 MCH9123,8.0
CL101,4,3,1,3,3,50843.64,3,9195.18,0,1,M:MCH3520,3,USR68914 USR89800 USR97571,MCH3520,7.9
CL102,4,2,2,3,3,27351.52,2,18955.95,0,2,M:MCH6716,2,USR29952 USR34370,MCH2842 MCH6716,7.9
CL103,5,3,2,4,4,25524.68,3,5719.3099999999995,0,1,M:MCH6780,3,USR92278 USR94196 USR97215,MCH6421 MCH6780,7.6
CL104,5,3,2,4,4,32316.92,3,4726.49,0,1,M:MCH9466,3,USR30993 USR63468 USR71221,MCH6773 MCH9466,7.5
CL105,5,2,3,4,4,55695.380000000005,3,4215.1,0,1,M:MCH3390,2,USR44217 USR62907,MCH3390 MCH6378 MCH7194,7.4
CL106,4,2,2,3,3,23159.14,2,12777.0,0,2,M:MCH3222,2,USR39288 USR61174,MCH3222 MCH5391,7.3
CL107,4,2,2,3,3,42421.53,2,9864.7,0,2,M:MCH7891,2,USR14398 USR30390,MCH2169 MCH7891,7.0
CL108,4,2,2,3,3,21412.35,2,5495.8,0,2,M:MCH3583,2,USR30388 USR51085,MCH3583 MCH9579,6.5
CL109,4,2,2,3,3,30174.129999999997,2,3927.67,0,2,M:MCH1327,2,USR39607 USR72970,MCH1327 MCH1853,6.4
CL110,4,2,2,3,3,62193.880000000005,2,4155.780000000001,0,2,M:MCH5757,2,USR54671 USR78529,MCH4233 MCH5757,6.4
CL111,4,2,2,3,3,42826.759999999995,2,4418.37,0,2,M:MCH1728,2,USR74517 USR92696,MCH1728 MCH9969,6.4
CL112,4,2,2,3,3,25873.43,2,1577.42,0,2,M:MCH3376,2,USR29097 USR59166,MCH3376 MCH7750,6.2
CL113,4,2,2,3,3,27527.98,2,528.92,0,2,M:MCH3834,2,USR43152 USR43210,MCH3834 MCH9236,6.1
CL114,4,2,2,3,3,15336.569999999998,2,8678.619999999999,0,1,M:MCH1071,2,USR56683 USR74506,MCH1071 MCH6134,5.9
CL115,4,2,2,3,3,29039.5,2,4835.67,0,1,M:MCH8561,2,USR12526 USR39861,MCH2256 MCH8561,5.5
CL116,4,2,2,3,3,46253.62,2,4423.45,0,1,M:MCH3528,2,USR21609 USR90008,MCH3528 MCH7499,5.4
CL117,4,2,2,3,3,29897.22,2,3919.04,0,1,M:MCH1070,2,USR35838 USR63556,MCH1070 MCH5608,5.4
CL118,4,2,2,3,3,47874.02,2,3216.48,0,1,M:MCH3111,2,USR32966 USR48528,MCH3111 MCH5043,5.3
CL119,4,2,2,3,3,9901.61,2,3387.66,0,1,M:MCH4435,2,USR77102 USR94279,MCH4435 MCH4458,5.3
CL120,4,2,2,3,3,34514.62,2,2158.77,0,1,M:MCH2335,2,USR13670 USR80636,MCH2335 MCH5337,5.2
CL121,4,2,2,3,3,12321.68,2,1823.69,0,1,M:MCH8936,2,USR17377 USR62336,MCH3861 MCH8936,5.2
